American Airlines	aa.com
Delta Air Lines	delta.com
United Airlines	united.com
British Airways	britishairways.com
Lufthansa	lufthansa.com
Air France	airfrance.com
KLM Royal Dutch Airlines	klm.com
Emirates	emirates.com
Qatar Airways	qatarairways.com
Etihad Airways	etihad.com
Singapore Airlines	singaporeair.com
Cathay Pacific	cathaypacific.com
Turkish Airlines	turkishairlines.com
Japan Airlines	jal.co.jp
Iberia	iberia.com
Qantas	qantas.com
Swiss International Air Lines	swiss.com
Austrian Airlines	austrian.com
LATAM Airlines	latamairlines.com
Air Canada	aircanada.com
JetBlue	jetblue.com
Spirit Airlines	spirit.com
Frontier Airlines	flyfrontier.com
Ryanair	ryanair.com
EasyJet	easyjet.com
Allegiant Air	allegiantair.com
Norwegian Air	norwegian.com
Vueling	vueling.com
Wizz Air	wizzair.com
Jetstar	jetstar.com
Scoot	flyscoot.com
Alaska Airlines	alaskaair.com
Hawaiian Airlines	hawaiianairlines.com
WestJet	westjet.com
Air New Zealand	airnewzealand.com
Copa Airlines	copaair.com
Avianca	avianca.com
Azul Brazilian Airlines	voeazul.com
Air India	airindia.com
Asiana Airlines	flyasiana.com
Fiji Airways	fijiairways.com
Garuda Indonesia	garuda-indonesia.com
Southwest Airlines	southwest.com
Thai Airways	thaiairways.com
Philippine Airlines	philippineairlines.com
Saudia	saudia.com
China Southern Airlines	csair.com
Air Chinaï¿½	airchina.com
